review_id,user_id,review_text,review_date,location,service_category,rating,sentiment_score,visit_frequency,recommendation_likelihood,customer_segment,demand_prediction
R0001,U9599,"Terrible Hotel experience in Tokyo, Japan. Will not return.",2024-10-11,"Tokyo, Japan",Hotel,1,-0.53,2,0.79,Solo Traveler,Medium
R0002,U5990,"Absolutely loved the Restaurant experience in New York, USA. Exceeded all expectations!",2024-07-23,"New York, USA",Restaurant,5,0.85,1,0.26,Budget Traveler,Medium
R0003,U6716,"Terrible Transport experience in Paris, France. Will not return.",2025-05-08,"Paris, France",Transport,1,-0.56,2,0.33,Family Tourist,Medium
R0004,U5004,"Not impressed with the City Tour in Paris, France. Several issues encountered.",2024-12-08,"Paris, France",City Tour,2,-0.16,3,0.67,Budget Traveler,Medium
R0005,U9053,"Enjoyed the Hotel at New York, USA. Would recommend to others.",2024-09-25,"New York, USA",Hotel,4,0.47,2,0.98,Solo Traveler,Medium
R0006,U8280,"Decent Restaurant in Tokyo, Japan, but room for improvement.",2024-10-14,"Tokyo, Japan",Restaurant,3,0.2,1,0.09,Business Traveler,Medium
R0007,U2720,"The Hotel at Sydney, Australia was okay. Could be better.",2025-02-12,"Sydney, Australia",Hotel,3,-0.01,4,0.13,Family Tourist,Medium
R0008,U6333,"Enjoyed the Hotel at New York, USA. Would recommend to others.",2025-02-06,"New York, USA",Hotel,4,0.45,1,0.18,Solo Traveler,Medium
R0009,U2562,"Avoid the Adventure Tour at Sydney, Australia. Very poor service.",2024-08-28,"Sydney, Australia",Adventure Tour,1,-0.57,4,0.65,Solo Traveler,Medium
R0010,U7320,"Terrible Restaurant experience in Paris, France. Will not return.",2024-06-25,"Paris, France",Restaurant,1,-0.73,4,0.2,Business Traveler,Low
R0011,U8574,"The best Restaurant I've ever had in Paris, France. Will come back again!",2024-08-21,"Paris, France",Restaurant,5,0.9,1,0.97,Family Tourist,High
R0012,U4333,"Avoid the Hotel at Paris, France. Very poor service.",2025-02-14,"Paris, France",Hotel,1,-0.83,1,0.4,Solo Traveler,Medium
R0013,U7800,"The best Restaurant I've ever had in Rome, Italy. Will come back again!",2024-08-08,"Rome, Italy",Restaurant,5,0.83,2,0.2,Solo Traveler,Medium
R0014,U2907,"Enjoyed the Restaurant at Paris, France. Would recommend to others.",2024-07-03,"Paris, France",Restaurant,4,0.4,2,0.52,Luxury Seeker,Medium
R0015,U2699,"Great City Tour experience in Sydney, Australia. A few minor issues but overall satisfied.",2024-05-31,"Sydney, Australia",City Tour,4,0.46,2,0.75,Family Tourist,Medium
R0016,U5498,"Great City Tour experience in Rome, Italy. A few minor issues but overall satisfied.",2025-02-01,"Rome, Italy",City Tour,4,0.67,2,0.06,Family Tourist,Medium
R0017,U5412,"The best Restaurant I've ever had in Paris, France. Will come back again!",2025-05-03,"Paris, France",Restaurant,5,0.93,2,0.01,Luxury Seeker,Medium
R0018,U9893,"Had problems with the City Tour in Tokyo, Japan. Needs improvement.",2025-03-26,"Tokyo, Japan",City Tour,2,-0.37,4,0.93,Luxury Seeker,Medium
R0019,U2543,"Not impressed with the Hotel in Rome, Italy. Several issues encountered.",2024-10-06,"Rome, Italy",Hotel,2,-0.23,2,0.13,Luxury Seeker,Low
R0020,U8674,"Disappointing Restaurant experience at Paris, France. Would not recommend.",2024-09-27,"Paris, France",Restaurant,2,-0.11,5,0.8,Budget Traveler,Medium
R0021,U7525,"Great Restaurant experience in Sydney, Australia. A few minor issues but overall satisfied.",2024-08-03,"Sydney, Australia",Restaurant,4,0.63,2,0.39,Business Traveler,Medium
R0022,U9044,"The Restaurant at Rome, Italy was okay. Could be better.",2024-06-03,"Rome, Italy",Restaurant,3,0.12,3,0.9,Solo Traveler,Medium
R0023,U6230,"Enjoyed the Transport at New York, USA. Would recommend to others.",2025-02-17,"New York, USA",Transport,4,0.55,3,0.36,Budget Traveler,Medium
R0024,U4479,"Great Transport experience in Tokyo, Japan. A few minor issues but overall satisfied.",2024-09-02,"Tokyo, Japan",Transport,4,0.66,1,0.91,Solo Traveler,High
R0025,U5977,"Worst Restaurant I've had in New York, USA. Completely dissatisfied.",2025-01-02,"New York, USA",Restaurant,1,-0.42,1,0.01,Business Traveler,Low
R0026,U2123,"Not impressed with the Adventure Tour in Sydney, Australia. Several issues encountered.",2024-08-05,"Sydney, Australia",Adventure Tour,2,-0.38,5,0.13,Solo Traveler,Low
R0027,U5687,"Terrible Transport experience in Rome, Italy. Will not return.",2025-03-15,"Rome, Italy",Transport,1,-0.86,3,0.76,Luxury Seeker,Medium
R0028,U6908,"Decent Hotel in Rome, Italy, but room for improvement.",2024-12-24,"Rome, Italy",Hotel,3,-0.06,5,0.16,Solo Traveler,Medium
R0029,U4036,"The best Restaurant I've ever had in Tokyo, Japan. Will come back again!",2024-10-19,"Tokyo, Japan",Restaurant,5,0.91,1,0.98,Luxury Seeker,High
R0030,U3261,"The Hotel at Tokyo, Japan was okay. Could be better.",2024-12-07,"Tokyo, Japan",Hotel,3,0.26,4,0.44,Business Traveler,Medium
R0031,U1798,"Average Transport experience in Paris, France. Nothing special.",2024-10-22,"Paris, France",Transport,3,0.09,3,0.46,Solo Traveler,Medium
R0032,U4402,"Disappointing City Tour experience at Paris, France. Would not recommend.",2024-07-23,"Paris, France",City Tour,2,-0.3,4,0.55,Solo Traveler,Medium
R0033,U4084,"Terrible Transport experience in Paris, France. Will not return.",2024-12-07,"Paris, France",Transport,1,-0.69,4,0.11,Family Tourist,Low
R0034,U2706,"Great City Tour experience in Tokyo, Japan. A few minor issues but overall satisfied.",2024-12-23,"Tokyo, Japan",City Tour,4,0.42,2,0.66,Family Tourist,Medium
R0035,U5838,"Not impressed with the Restaurant in Tokyo, Japan. Several issues encountered.",2024-12-26,"Tokyo, Japan",Restaurant,2,-0.31,4,0.92,Business Traveler,Medium
R0036,U4704,"Enjoyed the Hotel at Sydney, Australia. Would recommend to others.",2024-06-26,"Sydney, Australia",Hotel,4,0.43,3,0.95,Luxury Seeker,Medium
R0037,U4908,"Worst Restaurant I've had in New York, USA. Completely dissatisfied.",2024-07-14,"New York, USA",Restaurant,1,-0.84,3,0.59,Luxury Seeker,Medium
R0038,U6889,"Decent Hotel in New York, USA, but room for improvement.",2025-04-18,"New York, USA",Hotel,3,0.08,5,0.91,Luxury Seeker,Medium
R0039,U4543,"Very good Adventure Tour in Sydney, Australia. Met most of my expectations.",2024-06-15,"Sydney, Australia",Adventure Tour,4,0.55,1,0.23,Business Traveler,Medium
R0040,U4486,"Enjoyed the City Tour at Sydney, Australia. Would recommend to others.",2024-07-13,"Sydney, Australia",City Tour,4,0.59,3,0.99,Business Traveler,High
R0041,U7386,"Fantastic Restaurant experience at Paris, France. Highly recommend!",2024-10-25,"Paris, France",Restaurant,5,0.76,3,0.46,Solo Traveler,Medium
R0042,U8699,"Avoid the Adventure Tour at Tokyo, Japan. Very poor service.",2024-11-24,"Tokyo, Japan",Adventure Tour,1,-0.75,4,0.11,Budget Traveler,Low
R0043,U3955,"The Adventure Tour at Tokyo, Japan was okay. Could be better.",2024-11-09,"Tokyo, Japan",Adventure Tour,3,0.17,1,0.58,Business Traveler,Medium
R0044,U2079,"Worst Hotel I've had in Sydney, Australia. Completely dissatisfied.",2024-10-02,"Sydney, Australia",Hotel,1,-0.95,4,0.83,Budget Traveler,Medium
R0045,U7960,"The best Hotel I've ever had in New York, USA. Will come back again!",2025-02-13,"New York, USA",Hotel,5,0.8,1,0.47,Family Tourist,Medium
R0046,U8650,"The best Adventure Tour I've ever had in Sydney, Australia. Will come back again!",2024-08-19,"Sydney, Australia",Adventure Tour,5,0.74,1,0.01,Business Traveler,Medium
R0047,U6613,"Fantastic City Tour experience at Rome, Italy. Highly recommend!",2025-03-24,"Rome, Italy",City Tour,5,0.97,4,0.57,Budget Traveler,Medium
R0048,U8984,"Terrible Transport experience in Rome, Italy. Will not return.",2024-06-09,"Rome, Italy",Transport,1,-0.93,2,0.57,Luxury Seeker,Medium
R0049,U2931,"Worst City Tour I've had in Sydney, Australia. Completely dissatisfied.",2025-03-01,"Sydney, Australia",City Tour,1,-0.45,2,0.28,Business Traveler,Low
